# Zini   MH      logAge Mini         int_IMF      Mass  logL   logTe  logg   label McoreTP C_O   period0 period1 period2 period3 period4 pmode Mloss     tau1m X      Y      Xc       Xn       Xo       Cexcess Z       mbolmag Gmag   G_BPmag G_RPmag
  0.0152 0.01508 9.0    1.8009904623 2.5589965236 1.8   1.197  3.8936 4.023  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7267 0.2587 0.002575 7.043E-4 0.006399 -1.0    0.01456 1.777   1.679  1.773   1.503  
  0.0152 0.01508 9.0    1.827436924  2.5604033584 1.826 1.231  3.894  3.997  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7266 0.2589 0.002576 7.048E-4 0.006398 -1.0    0.01454 1.693   1.593  1.687   1.42   
  0.0152 0.01508 9.0    1.8500000238 2.5615671203 1.849 1.26   3.8938 3.973  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7265 0.259  0.002577 7.053E-4 0.006399 -1.0    0.01456 1.621   1.521  1.614   1.347  
  0.0152 0.01508 9.0    1.8599282503 2.5620689237 1.859 1.272  3.8936 3.962  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7264 0.259  0.002577 7.053E-4 0.0064   -1.0    0.01457 1.59    1.489  1.582   1.315  
  0.0152 0.01508 9.0    1.8873214722 2.5634220307 1.886 1.307  3.8925 3.929  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7263 0.2591 0.002578 7.054E-4 0.006404 -1.0    0.01459 1.504   1.4    1.495   1.225  
  0.0152 0.01508 9.0    1.9000000954 2.5640331317 1.899 1.322  3.8915 3.912  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7262 0.2592 0.002579 7.054E-4 0.006407 -1.0    0.01459 1.464   1.359  1.455   1.182  
  0.0152 0.01508 9.0    1.9200804234 2.5649820262 1.919 1.347  3.8897 3.885  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7261 0.2593 0.002579 7.055E-4 0.006409 -1.0    0.0146  1.402   1.294  1.391   1.113  
  0.0152 0.01508 9.0    1.9500001669 2.5663542767 1.95  1.384  3.8855 3.838  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.726  0.2595 0.002581 7.058E-4 0.006412 -1.0    0.01455 1.309   1.197  1.3     1.007  
  0.0152 0.01508 9.0    1.9757508039 2.5674971236 1.976 1.415  3.8805 3.792  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7258 0.2596 0.002582 7.061E-4 0.006415 -1.0    0.01456 1.232   1.114  1.224   0.912  
  0.0152 0.01508 9.0    2.0          2.5685424513 2.0   1.444  3.8742 3.744  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7257 0.2598 0.002584 7.065E-4 0.006419 -1.0    0.01457 1.161   1.037  1.156   0.82   
  0.0152 0.01508 9.0    2.002102375  2.5686317091 2.002 1.446  3.8736 3.74   1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7256 0.2598 0.002584 7.065E-4 0.006419 -1.0    0.01457 1.154   1.031  1.15    0.812  
